size, compute_time
100,2.7062904834747314
200,21.501302242279053
300,67.70433759689331
400,165.86970901489258
500,307.19096875190735
600,554.1210765838623
700,882.9528517723083
800,1256.3114042282104
900,1844.4042550282107
1000,2654.006583862301
1100,3886.2821049921
1200,5498.282107222
